dewpt,heatIndex,humidity,precipRate,precipTotal,pressure,temp,timestamp,windChill,windGust,windSpeed
3,10,65,0.0,0.0,1017.95,10,2025-11-12 00:45:14,10,0,0
3,10,65,0.0,0.0,1017.95,10,2025-11-12 00:47:41,10,0,0
3,10,65,0.0,0.0,1017.95,10,2025-11-12 00:49:04,10,0,0
3,10,65,0.0,0.0,1017.95,10,2025-11-12 00:50:19,10,0,0
3,10,65,0.0,0.0,1017.95,10,2025-11-12 00:53:56,10,0,0
3,10,65,0.0,0.0,1017.95,10,2025-11-12 01:08:58,10,0,0
3,9,67,0.0,0.0,1017.95,9,2025-11-12 01:26:36,9,0,0
3,9,66,0.0,0.0,1017.95,9,2025-11-12 01:41:37,9,0,0
3,9,68,0.0,0.0,1017.95,9,2025-11-12 01:56:40,9,0,0
3,9,70,0.0,0.0,1017.95,9,2025-11-12 02:11:42,9,0,0
3,9,70,0.0,0.0,1017.95,9,2025-11-12 02:26:45,9,0,0
3,9,69,0.0,0.0,1017.95,9,2025-11-12 02:41:47,9,0,0
3,9,69,0.0,0.0,1017.95,9,2025-11-12 02:56:50,9,0,0
3,21,29,0.0,0.0,1016.93,22,2025-11-12 12:36:52,22,0,0
