dewpt,heatIndex,humidity,precipRate,precipTotal,pressure,temp,timestamp,windChill,windGust,windSpeed
8,26,31,0.0,0.0,1011.85,26,2025-11-21 17:06:57,26,0,0
8,25,31,0.0,0.0,1011.85,26,2025-11-21 17:22:00,26,2,2
7,25,31,0.0,0.0,1011.85,26,2025-11-21 17:37:03,26,2,2
7,25,32,0.0,0.0,1011.85,25,2025-11-21 17:52:06,25,2,2
8,24,34,0.0,0.0,1012.87,25,2025-11-21 18:07:09,25,0,0
7,23,34,0.0,0.0,1012.87,24,2025-11-21 18:22:13,24,0,0
7,23,36,0.0,0.0,1012.87,23,2025-11-21 18:37:20,23,9,7
7,22,36,0.0,0.0,1012.87,23,2025-11-21 18:52:22,23,5,5
8,21,40,0.0,0.0,1012.87,22,2025-11-21 19:35:34,22,5,5
9,21,48,0.0,0.0,1013.88,21,2025-11-21 20:49:52,21,8,7
10,21,49,0.0,0.0,1013.88,21,2025-11-21 21:04:56,21,9,9
10,20,50,0.0,0.0,1014.9,20,2025-11-21 21:19:58,20,4,4
10,20,54,0.0,0.0,1014.9,20,2025-11-21 21:48:50,20,6,5
11,18,63,0.0,0.0,1014.9,18,2025-11-21 23:30:26,18,8,7
11,18,64,0.0,0.0,1014.9,18,2025-11-21 23:45:30,18,3,3
